algorithm_name,dataset,anomaly_type,noise_type,labeled_anomaly_ratio,noise_ratio,apply_data_scaling,scaler,apply_data_rebalancing,rebalance_pipeline,apply_missing_data_filling,fill_algorithm,apply_dimensionality_reduction,dimensinality_reduction_algorithm,roc_auc,recall,precision,accuracy,f1-score,exception
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.5,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.6,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.7,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.8,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.NONE,1.0,0.9,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.DUPLICATES,1.0,0.0,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.DUPLICATES,1.0,0.1,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.DUPLICATES,1.0,0.2,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.DUPLICATES,1.0,0.3,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
PASSIVE AGRESSIVE CLASSIFIER,37_Stamps,AnomalyType.CLUSTER,NoiseType.DUPLICATES,1.0,0.4,True,"(MinMaxScaler(),)",False,"<bound method Pipeline.get_params of Pipeline(steps=[('u', RandomUnderSampler())])>",False,Zero,False,PCA,1.0,1.0,1.0,1.0,1.0,
